State_name,Land Size (km^2),Latitude(° E),Longitude(° N)
Johor,19210,103.3587,1.9344
Kedah,9500,100.5296,6.0499
Kelantan,15099,101.8892,5.1151
Melaka,1664,102.2501,2.1896
Negeri Sembilan,6686,102.2548,2.8707
Pahang,36137,102.4381,3.9743
Perak,21035,100.8,4.8073
Perlis,821,100.2152,6.517
Pulau Pinang,1049,100.4846,5.2632
Sabah,73904,116.7968,5.4204
Sarawak,124450,113.0012,2.5574
Selangor,8104,101.5248,3.5092
Terengganu,13035,102.9896,5.0936
W.P. Kuala Lumpur,243,101.6841,3.1319
W.P. Labuan,92,115.2308,5.2831
W.P. Putrajaya,49,101.6954,2.9256
