year,state,Working_Age_Population_thousands, Employed_Person_in_Thousands,Total_Working_Age_Population,Total_Employed_Person,Overall_Employment_Rate
1982,Johor,498.5,408.6,994.4,630.2,0.633748994
1982,Kedah,324.5,260.8,667.3,388.9,0.582796343
1982,Kelantan,248,185.2,511.4,304.2,0.5948377
1982,Melaka,132.8,109.1,279.2,167.1,0.598495702
1982,Negeri Sembilan,168.9,136.8,342.8,216.3,0.630980163
1982,Pahang,247.1,186.2,466.6,270.2,0.579082726
1982,Pulau Pinang,301.9,253.1,616.1,382.3,0.62051615
1982,Perak,513.5,386.4,1054.1,604,0.573000664
1982,Perlis,46.1,38.3,93.3,55.7,0.596998928
1982,Selangor,503.2,449.2,995.4,676.9,0.680028129
1982,Terengganu,156.7,144.3,314.3,221.1,0.703468024
1982,Sabah,341.6,271.2,634.7,343.6,0.541358122
1982,Sarawak,386.5,329.8,771.2,524.7,0.680368257
1982,W.P. Kuala Lumpur,341.2,306.2,659.6,463.6,0.702850212
1983,Johor,519.2,402.2,1031,623.7,0.604946654
1983,Kedah,334.4,237.8,686.1,373.6,0.544527037
1983,Kelantan,255.7,182.2,527,282.5,0.536053131
1983,Melaka,136.2,103,285.3,165.5,0.580091132
1983,Negeri Sembilan,173.8,134.5,352.4,215,0.610102157
1983,Pahang,255.5,229.3,482.6,333.5,0.691048487
1983,Pulau Pinang,308.3,262.2,628.9,404.8,0.64366354
1983,Perak,524.1,422.4,1073.8,669.2,0.623207301
1983,Perlis,47.1,47,94.8,63.8,0.672995781
1983,Selangor,530.4,489,1047.9,740,0.706174253
1983,Terengganu,164.1,157.6,327.9,236.9,0.722476365
1983,Sabah,363.4,284.4,674.6,377.7,0.559887341
1983,Sarawak,402.2,337.9,799.4,540,0.67550663
1983,W.P. Kuala Lumpur,347.2,280.9,674.4,430.7,0.638641756
1984,Johor,538.1,433.9,1064.7,657.3,0.617357002
1984,Kedah,341.1,277.6,698.3,417.6,0.598023772
1984,Kelantan,261,199.8,537.8,322.3,0.599293418
1984,Melaka,138.5,101.8,289.4,162.6,0.561852108
1984,Negeri Sembilan,178.6,146,361.1,223.3,0.618388258
1984,Pahang,263.4,211,497.9,306.9,0.616388833
1984,Pulau Pinang,315,257.5,642.8,383.7,0.596919726
1984,Perak,533.6,419.9,1092.3,659.6,0.603863407
1984,Perlis,48.2,43.5,97.2,61.8,0.635802469
1984,Selangor,558.9,459.8,1103.2,690.3,0.625725163
1984,Terengganu,170.1,141.8,338.4,204.5,0.604314421
1984,Sabah,386.6,282.1,717.8,400.3,0.557676233
1984,Sarawak,417.8,353.4,827.8,575.3,0.694974632
1984,W.P. Kuala Lumpur,352.7,321.9,688.4,485.4,0.705113306
1985,Johor,557.3,444.7,1099.4,672.7,0.611879207
1985,Kedah,348.4,269.2,712.4,413.8,0.580853453
1985,Kelantan,266.6,198.7,548.4,323.6,0.590080233
1985,Melaka,140.8,108.6,293.2,170.1,0.580150068
1985,Negeri Sembilan,182.7,133.3,368.6,210.8,0.571893652
1985,Pahang,271.3,227.8,512.3,327.9,0.640054655
1985,Pulau Pinang,321.4,259.9,655.7,388.1,0.591886533
1985,Perak,538.9,423.4,1102,669.6,0.607622505
1985,Perlis,49.1,43,98.9,60.6,0.612740142
1985,Selangor,589,468.1,1161.8,706.1,0.607763815
1985,Terengganu,176.6,142.9,349.6,212.5,0.607837529
1985,Sabah,411.5,283,764.6,403.3,0.527465341
1985,Sarawak,433.6,359.6,856.3,587.6,0.686208105
1985,W.P. Kuala Lumpur,358.7,326.3,704.1,491.7,0.698338304
1986,Johor,577.4,458.8,1135.2,700.4,0.616983791
1986,Kedah,356.1,281.1,727.2,417.9,0.574669967
1986,Kelantan,272.9,212.3,560.3,340.2,0.607174728
1986,Melaka,142.8,104.8,296.7,169.8,0.572295248
1986,Negeri Sembilan,187.2,137.8,376.5,213.5,0.567065073
1986,Pahang,279.4,217.5,527.6,315.4,0.597801365
1986,Pulau Pinang,328.4,260.2,670.2,391.4,0.584004775
1986,Perak,544.9,421.1,1112.5,669.9,0.602157303
1986,Perlis,50,39.8,100.6,57.6,0.572564612
1986,Selangor,621.2,512.2,1224.9,777,0.634337497
1986,Terengganu,183.5,141.3,361.8,218.4,0.603648425
1986,Sabah,438.5,288.2,814,405.5,0.498157248
1986,Sarawak,450,370.7,885.4,614.3,0.693810707
1986,W.P. Kuala Lumpur,365.2,297.1,721.7,455.1,0.63059443
1987,Johor,596.8,478.2,1170.6,732.8,0.626003759
1987,Kedah,361.9,282.1,739.1,420.1,0.568393993
1987,Kelantan,279.5,214.1,572.1,350.5,0.61265513
1987,Melaka,144.6,110.2,299.9,176.7,0.589196399
1987,Negeri Sembilan,191.4,144.3,384,221.8,0.577604167
1987,Pahang,287,228.9,542.2,335.9,0.619513095
1987,Pulau Pinang,334.9,263.4,683.6,404.9,0.592305442
1987,Perak,548.4,417.9,1119.4,670.5,0.598981597
1987,Perlis,50.9,43.3,102.5,60.6,0.591219512
1987,Selangor,653.8,558.7,1288.3,865,0.671427463
1987,Terengganu,190.6,136,374.6,209,0.557928457
1987,Sabah,466.4,300.1,865.4,424.3,0.490293506
1987,Sarawak,465.5,391.8,913.5,642,0.702791461
1987,W.P. Kuala Lumpur,372.3,289.6,739.7,457.8,0.618899554
1988,Johor,616.3,521.7,1204.8,791.9,0.657287517
1988,Kedah,368.4,298,752.1,459.3,0.610690068
1988,Kelantan,286.7,216.8,587.8,363.5,0.618407622
1988,Melaka,146.6,109.8,303.3,175.4,0.578305308
1988,Negeri Sembilan,195.7,148.3,391.3,228,0.582673141
1988,Pahang,294.9,241.6,556.8,351.4,0.631106322
1988,Pulau Pinang,341.3,264.2,696.1,398.9,0.573049849
1988,Perak,550.7,417.4,1123,656.7,0.58477293
1988,Perlis,52.1,48,104.2,65.5,0.628598848
1988,Selangor,687.1,575.7,1352.1,893.1,0.660528067
1988,Terengganu,198.1,146.2,388.6,229.9,0.591610911
1988,Sabah,495.4,305.2,920.2,424.6,0.46142143
1988,Sarawak,482,385.9,942.9,637.1,0.675681408
1988,W.P. Kuala Lumpur,379.7,295.6,758,469.5,0.61939314
1989,Johor,636,542.8,1240.7,822.3,0.662771016
1989,Kedah,374.5,295.3,764.6,443.3,0.579780277
1989,Kelantan,294.1,223.8,601,363.8,0.605324459
1989,Melaka,148.5,113.7,306.7,185.9,0.606129769
1989,Negeri Sembilan,200.4,145.2,400.2,229.3,0.572963518
1989,Pahang,303.4,267.2,573.1,379.1,0.661490141
1989,Pulau Pinang,347.9,279.5,709.7,436.3,0.614766803
1989,Perak,554.3,434.1,1130.4,686.7,0.607484076
1989,Perlis,53.2,46.8,106.2,66.4,0.625235405
1989,Selangor,718.8,578,1413.9,900.2,0.63667869
1989,Terengganu,205.7,157.3,402.1,230,0.571997016
1989,Sabah,524.3,316.8,974.8,442.3,0.453734099
1989,Sarawak,497.3,419.1,970.6,687.2,0.70801566
1989,W.P. Kuala Lumpur,387.5,325.4,776.4,504.7,0.65005152
1990,Johor,655.9,589.4,1277,914.1,0.715818324
1990,Kedah,381.9,314.6,780,467.7,0.599615385
1990,Kelantan,302.2,228.5,617.8,377.7,0.611362901
1990,Melaka,151.1,111,311.2,180.1,0.578727506
1990,Negeri Sembilan,205.7,134.9,410,215.9,0.526585366
1990,Pahang,312.6,298.7,590.3,428.8,0.7264103
1990,Pulau Pinang,354.5,285.8,722.7,457.2,0.632627646
1990,Perak,558.1,424.3,1137.5,678.2,0.59621978
1990,Perlis,54.9,40.6,109.4,57.1,0.521937843
1990,Selangor,750.7,674.7,1475.6,1039.4,0.704391434
1990,Terengganu,214.3,148.5,417.8,227.6,0.544758258
1990,Sabah,552.8,315.6,1029,436.8,0.424489796
1990,Sarawak,512.7,417.7,998,698.9,0.700300601
1990,W.P. Kuala Lumpur,394,314.4,792.2,490.7,0.619414289
1992,Johor,695.6,604.6,1352.1,926,0.684860587
1992,Kedah,396.4,322,814.4,495.1,0.60793222
1992,Kelantan,313.2,228.3,648.5,382.5,0.589822668
1992,Melaka,157.3,128.2,323,207.4,0.642105263
1992,Negeri Sembilan,217.1,155.5,431.3,251.4,0.58288894
1992,Pahang,328.7,289.7,624.3,417,0.667948102
