state,land_size_sq_km,year,sex,age,ethnicity,population_thousands,Rank
Johor,19210,1970,both,0-4,overall,210.1,3
Kedah,9500,1970,both,0-4,overall,150,5
Kelantan,15099,1970,both,0-4,overall,111.5,7
Melaka,1664,1970,both,0-4,overall,62.5,12
Negeri Sembilan,6686,1970,both,0-4,overall,76.7,10
Pahang,36137,1970,both,0-4,overall,86.3,9
Perak,21035,1970,both,0-4,overall,248,2
Perlis,821,1970,both,0-4,overall,16.9,13
Pulau Pinang,1049,1970,both,0-4,overall,106.7,8
Sabah,73904,1970,both,0-4,overall,134.7,6
Sarawak,124450,1970,both,0-4,overall,177.9,4
Selangor,8104,1970,both,0-4,overall,253,1
Terengganu,13035,1970,both,0-4,overall,68.1,11
Johor,19210,1985,both,0-4,overall,257.7,3
Kedah,9500,1985,both,0-4,overall,173.9,7
Kelantan,15099,1985,both,0-4,overall,174.7,6
Melaka,1664,1985,both,0-4,overall,67.8,13
Negeri Sembilan,6686,1985,both,0-4,overall,89.7,12
Pahang,36137,1985,both,0-4,overall,142.3,8
Perak,21035,1985,both,0-4,overall,291.1,1
Perlis,821,1985,both,0-4,overall,22.7,14
Pulau Pinang,1049,1985,both,0-4,overall,116.9,10
Sabah,73904,1985,both,0-4,overall,241.2,4
Sarawak,124450,1985,both,0-4,overall,199,5
Selangor,8104,1985,both,0-4,overall,257.9,2
Terengganu,13035,1985,both,0-4,overall,111.2,11
W.P. Kuala Lumpur,243,1985,both,0-4,overall,133.1,9
Johor,19210,2000,both,0-4,overall,318,3
Kedah,9500,2000,both,0-4,overall,210.1,7
Kelantan,15099,2000,both,0-4,overall,213,6
Melaka,1664,2000,both,0-4,overall,78.6,13
Negeri Sembilan,6686,2000,both,0-4,overall,95.2,12
Pahang,36137,2000,both,0-4,overall,150,9
Perak,21035,2000,both,0-4,overall,247.9,5
Perlis,821,2000,both,0-4,overall,24.6,14
Pulau Pinang,1049,2000,both,0-4,overall,142.5,10
Sabah,73904,2000,both,0-4,overall,337.7,2
Sarawak,124450,2000,both,0-4,overall,265.6,4
Selangor,8104,2000,both,0-4,overall,456.6,1
Terengganu,13035,2000,both,0-4,overall,116.1,11
W.P. Kuala Lumpur,243,2000,both,0-4,overall,166.3,8
W.P. Labuan,92,2000,both,0-4,overall,11.1,15
Johor,19210,2023,both,0-4,overall,266.2,3
Kedah,9500,2023,both,0-4,overall,172.1,5
Kelantan,15099,2023,both,0-4,overall,176.4,4
Melaka,1664,2023,both,0-4,overall,69.9,13
Negeri Sembilan,6686,2023,both,0-4,overall,78.6,12
Pahang,36137,2023,both,0-4,overall,123.8,8
Perak,21035,2023,both,0-4,overall,153.3,7
Perlis,821,2023,both,0-4,overall,19.9,14
Pulau Pinang,1049,2023,both,0-4,overall,110.9,11
Sabah,73904,2023,both,0-4,overall,286.6,2
Sarawak,124450,2023,both,0-4,overall,153.9,6
Selangor,8104,2023,both,0-4,overall,504.1,1
Terengganu,13035,2023,both,0-4,overall,119.3,9
W.P. Kuala Lumpur,243,2023,both,0-4,overall,112.9,10
W.P. Labuan,92,2023,both,0-4,overall,8.1,16
W.P. Putrajaya,49,2023,both,0-4,overall,10.6,15
